11:26:49.873 , TTPPHO, 10269, 27.12, 26.88, 101293.22, 101312.17, 37.25, 20.93
11:26:55.320 , TTPPHO, 15445, 27.14, 26.86, 101293.98, 101313.64, 37.25, 20.93
11:27:00.149 , TTPPHO, 20616, 27.15, 26.81, 101291.92, 101313.31, 37.19, 20.93
11:27:05.316 , TTPPHO, 25786, 27.15, 26.78, 101293.19, 101313.94, 37.17, 20.93
11:27:10.667 , TTPPHO, 30956, 27.16, 26.78, 101293.63, 101309.67, 37.14, 20.93
11:27:15.662 , TTPPHO, 36132, 27.16, 26.78, 101290.95, 101313.73, 37.09, 20.93
11:27:20.828 , TTPPHO, 41304, 27.16, 26.83, 101287.02, 101316.08, 37.11, 20.93
11:27:26.012 , TTPPHO, 46476, 27.16, 26.85, 101294.57, 101307.35, 37.07, 20.93
11:27:31.456 , TTPPHO, 51652, 27.16, 26.87, 101291.53, 101316.20, 37.04, 20.93
11:27:40.600 , mppoctht, 56092.00, -4.27, 0.63, 20.93, 0.27, 25.71, 37.03, 27.16
11:27:40.601 , mppoctht, 56129.00, -0.13, 0.00, 20.93, 0.27, 25.71, 37.03, 27.16
11:27:40.610 , mppoctht, 56165.00, -0.32, 0.10, 20.93, 0.27, 25.71, 37.03, 27.16
11:27:40.612 , mppoctht, 56201.00, -0.32, 0.10, 20.93, 0.27, 25.71, 37.03, 27.16
11:27:40.612 , mppoctht, 56237.00, -0.50, 0.00, 20.93, 0.27, 25.71, 37.03, 27.16
11:27:40.612 , mppoctht, 56273.00, -0.32, 0.10, 20.93, 0.27, 25.71, 37.03, 27.16
11:27:40.619 , mppoctht, 56309.00, -0.50, 0.00, 20.93, 0.08, 25.68, 37.04, 27.16
11:27:40.620 , mppoctht, 56345.00, -0.32, 0.00, 20.93, 0.08, 25.68, 37.04, 27.16
11:27:40.622 , mppoctht, 56384.00, -0.32, -0.08, 20.93, 0.08, 25.68, 37.04, 27.16
11:27:40.624 , mppoctht, 56421.00, -0.32, -0.08, 20.93, 0.08, 25.68, 37.04, 27.16
11:27:40.629 , mppoctht, 56458.00, -0.50, 0.00, 20.93, -0.08, 25.70, 37.03, 27.16
11:27:40.629 , mppoctht, 56494.00, -0.50, 0.00, 20.93, -0.08, 25.70, 37.03, 27.16
11:27:40.659 , mppoctht, 56530.00, -0.50, 0.00, 20.93, -0.08, 25.70, 37.03, 27.16
11:27:40.663 , mppoctht, 56569.00, -0.32, 0.00, 20.93, -0.08, 25.70, 37.03, 27.16
11:27:40.667 , mppoctht, 56605.00, -0.32, 0.00, 20.93, 0.18, 25.73, 37.05, 27.16
11:27:40.667 , mppoctht, 56641.00, -0.13, -0.08, 20.93, 0.18, 25.73, 37.05, 27.16
11:27:40.667 , mppoctht, 56678.00, -0.32, 0.00, 20.93, 0.18, 25.73, 37.05, 27.16
11:27:40.667 , mppoctht, 56714.00, -0.50, -0.08, 20.93, 0.18, 25.73, 37.05, 27.16
11:27:40.673 , mppoctht, 56750.00, -0.32, -0.08, 20.93, 0.18, 25.73, 37.05, 27.16
11:27:40.698 , mppoctht, 56786.00, -0.32, -0.08, 20.93, 0.07, 25.72, 37.02, 27.16
11:27:40.700 , mppoctht, 56822.00, -0.32, -0.08, 20.93, 0.07, 25.72, 37.02, 27.16
11:27:40.700 , mppoctht, 56859.00, -0.32, -0.08, 20.93, 0.07, 25.72, 37.02, 27.16
11:27:40.702 , mppoctht, 56895.00, -0.50, -0.08, 20.93, 0.07, 25.72, 37.02, 27.16
11:27:40.702 , mppoctht, 56931.00, -0.32, -0.27, 20.93, 0.18, 25.73, 37.04, 27.16
11:27:40.710 , mppoctht, 56967.00, -0.32, -0.08, 20.93, 0.18, 25.73, 37.04, 27.16
11:27:40.735 , mppoctht, 57004.00, -0.32, -0.27, 20.93, 0.18, 25.73, 37.04, 27.16
11:27:40.739 , mppoctht, 57041.00, -0.13, -0.27, 20.93, 0.18, 25.73, 37.04, 27.16
11:27:40.739 , mppoctht, 57078.00, -0.32, -0.27, 20.93, 0.44, 25.75, 37.03, 27.16
11:27:40.739 , mppoctht, 57114.00, -0.32, -0.27, 20.93, 0.44, 25.75, 37.03, 27.16
11:27:40.739 , mppoctht, 57150.00, -0.32, -0.27, 20.93, 0.44, 25.75, 37.03, 27.16
11:27:40.747 , mppoctht, 57187.00, -0.32, -0.08, 20.93, 0.44, 25.75, 37.03, 27.16
11:27:40.771 , mppoctht, 57223.00, -0.50, -0.08, 20.96, 0.06, 25.73, 37.06, 27.16
11:27:40.777 , mppoctht, 57259.00, -0.32, -0.08, 20.96, 0.06, 25.73, 37.06, 27.16
11:27:40.778 , mppoctht, 57295.00, -0.32, -0.08, 20.96, 0.06, 25.73, 37.06, 27.16
11:27:40.780 , mppoctht, 57331.00, -0.32, -0.08, 20.96, 0.06, 25.73, 37.06, 27.16
11:27:40.780 , mppoctht, 57367.00, -0.32, -0.27, 20.96, 0.06, 25.73, 37.06, 27.16
11:27:40.808 , mppoctht, 57403.00, -0.32, -0.27, 20.93, -0.03, 25.78, 37.02, 27.16
11:27:40.812 , mppoctht, 57439.00, -0.32, -0.27, 20.93, -0.03, 25.78, 37.02, 27.16
11:27:40.812 , mppoctht, 57475.00, -0.32, -0.27, 20.93, -0.03, 25.78, 37.02, 27.16
11:27:40.814 , mppoctht, 57511.00, -0.32, -0.27, 20.93, -0.03, 25.78, 37.02, 27.16
11:27:40.814 , mppoctht, 57547.00, -0.32, -0.27, 20.93, 0.17, 25.78, 37.04, 27.16
11:27:40.814 , mppoctht, 57583.00, -0.32, -0.27, 20.93, 0.17, 25.78, 37.04, 27.16
11:27:40.847 , mppoctht, 57619.00, -0.32, -0.27, 20.93, 0.17, 25.78, 37.04, 27.16
11:27:40.868 , mppoctht, 57656.00, -0.32, -0.27, 20.93, 0.17, 25.78, 37.04, 27.16
11:27:40.870 , mppoctht, 57692.00, -0.32, -0.27, 20.93, 0.27, 25.80, 37.04, 27.16
11:27:40.879 , mppoctht, 57729.00, -0.32, -0.27, 20.93, 0.27, 25.80, 37.04, 27.16
11:27:40.884 , mppoctht, 57767.00, -0.32, -0.27, 20.93, 0.27, 25.80, 37.04, 27.16
11:27:40.886 , mppoctht, 57804.00, -0.32, -0.27, 20.93, 0.27, 25.80, 37.04, 27.16
11:27:40.892 , mppoctht, 57840.00, -0.32, -0.27, 20.93, 0.27, 25.80, 37.04, 27.16
11:27:40.899 , mppoctht, 57876.00, -0.32, -0.27, 20.96, -0.03, 25.83, 37.06, 27.16
11:27:40.901 , mppoctht, 57912.00, -0.32, -0.27, 20.96, -0.03, 25.83, 37.06, 27.15
11:27:40.902 , mppoctht, 57949.00, -0.32, -0.27, 20.96, -0.03, 25.83, 37.06, 27.15
11:27:40.902 , mppoctht, 57985.00, -0.32, -0.27, 20.96, -0.03, 25.83, 37.06, 27.16
11:27:40.955 , mppoctht, 58021.00, -0.32, -0.27, 20.93, 0.27, 25.82, 37.03, 27.16
11:27:40.955 , mppoctht, 58057.00, -0.32, -0.27, 20.93, 0.27, 25.82, 37.03, 27.16
11:27:40.960 , mppoctht, 58094.00, -0.32, -0.27, 20.93, 0.27, 25.82, 37.03, 27.16
11:27:40.979 , mppoctht, 58130.00, -0.32, -0.27, 20.93, 0.27, 25.82, 37.03, 27.16
11:27:40.982 , mppoctht, 58167.00, -0.32, -0.27, 20.93, 0.34, 25.84, 37.05, 27.16
11:27:40.982 , mppoctht, 58203.00, -0.32, -0.27, 20.93, 0.34, 25.84, 37.05, 27.16
11:27:40.995 , mppoctht, 58239.00, -0.13, -0.27, 20.93, 0.34, 25.84, 37.05, 27.16
11:27:40.995 , mppoctht, 58276.00, -0.13, -0.27, 20.93, 0.34, 25.84, 37.05, 27.16
