millis,ts,type,dpIn,dpOut,o2,millis_diff
27417.0,19:27:04.694 , Vol+O2,0.0,0.0,20.69,
27454.0,19:27:04.697 , Vol+O2,0.0,0.0,20.66,37.0
27491.0,19:27:04.697 , Vol+O2,0.0,0.0,20.66,37.0
27528.0,19:27:04.702 , Vol+O2,0.0,0.0,20.66,37.0
27565.0,19:27:04.702 , Vol+O2,0.0,0.0,20.66,37.0
27602.0,19:27:04.702 , Vol+O2,0.0,0.0,20.63,37.0
27639.0,19:27:04.704 , Vol+O2,0.0,0.0,20.63,37.0
27677.0,19:27:04.704 , Vol+O2,0.0,0.0,20.63,38.0
27712.0,19:27:04.704 , Vol+O2,0.0,0.0,20.63,35.0
27749.0,19:27:04.704 , Vol+O2,0.0,0.0,20.63,37.0
27786.0,19:27:04.706 , Vol+O2,0.0,0.0,20.63,37.0
27823.0,19:27:04.708 , Vol+O2,0.0,0.0,20.63,37.0
27860.0,19:27:04.708 , Vol+O2,0.0,0.0,20.63,37.0
27897.0,19:27:04.708 , Vol+O2,0.0,0.0,20.63,37.0
27934.0,19:27:04.711 , Vol+O2,0.0,0.0,20.63,37.0
27971.0,19:27:04.711 , Vol+O2,0.0,0.0,20.63,37.0
28008.0,19:27:04.711 , Vol+O2,0.0,0.0,20.63,37.0
28043.0,19:27:04.713 , Vol+O2,0.0,0.0,20.66,35.0
28080.0,19:27:04.713 , Vol+O2,0.0,0.0,20.66,37.0
28117.0,19:27:04.713 , Vol+O2,0.0,0.0,20.66,37.0
28154.0,19:27:04.713 , Vol+O2,0.0,0.0,20.66,37.0
28192.0,19:27:04.714 , Vol+O2,0.0,0.0,20.66,38.0
28227.0,19:27:04.714 , Vol+O2,0.0,0.0,20.66,35.0
28264.0,19:27:04.716 , Vol+O2,0.0,0.0,20.66,37.0
28306.0,19:27:04.716 , Vol+O2,0.0,0.0,20.66,42.0
28342.0,19:27:04.711 , Vol+O2,0.0,0.0,20.64,36.0
28379.0,19:27:04.722 , Vol+O2,0.0,0.0,20.64,37.0
